group_id,group_name,price
1,Điện thoại iPhone 16e,16990000.0
2,Điện thoại iPhone 16 Pro Max,31390000.0
3,Điện thoại iPhone 16 Pro,25590000.0
4,Điện thoại Samsung Galaxy S25 5G,19990000.0
5,Điện thoại Samsung Galaxy S25 Ultra 5G,
6,Điện thoại Xiaomi Redmi Note 14,4990000.0
7,Điện thoại Xiaomi Redmi Note 14 Pro 8GB/256GB,7590000.0
8,Điện thoại OPPO Reno13 F 5G,9990000.0
9,Điện thoại OPPO Reno13 5G,15490000.0
10,Điện thoại realme C75,5390000.0
11,Điện thoại vivo V40 Lite 8GB/256GB,7790000.0
12,Điện thoại HONOR X9c 5G,6490000.0
13,Điện thoại TCL 406s 4GB/64GB,1890000.0
14,Điện thoại iPhone 16 Plus,22690000.0
15,Điện thoại iPhone 16,19690000.0
16,Điện thoại Samsung Galaxy S24 Ultra 5G,22990000.0
17,Điện thoại Samsung Galaxy A16 5G,5690000.0
18,Điện thoại Xiaomi Redmi Note 14 Pro 5G 8GB/256GB,8790000.0
19,Điện thoại Xiaomi Redmi Note 14 Pro+ 5G 8GB/256GB,10690000.0
20,Điện thoại OPPO Reno13 Pro 5G 12GB/512GB,18490000.0
21,Điện thoại OPPO Reno13 F 8GB/256GB,8790000.0
22,Điện thoại realme Note 60x,2490000.0
23,Điện thoại vivo Y28,5290000.0
24,Điện thoại HONOR X5b,2190000.0
25,Điện thoại Samsung Galaxy Z Fold6 5G,34990000.0
26,Điện thoại iPhone 15 Pro Max,29990000.0
27,Điện thoại Samsung Galaxy A06,2690000.0
28,Điện thoại iPhone 15 Plus,19790000.0
29,Điện thoại Samsung Galaxy A35 5G 8GB/256GB,8090000.0
30,Điện thoại Xiaomi 15 5G,
31,Điện thoại Xiaomi 15 Ultra 5G,
32,Điện thoại OPPO A60,5490000.0
33,Điện thoại OPPO A3x,3090000.0
34,Điện thoại realme 13+ 5G,7890000.0
35,Điện thoại vivo V40 5G 12GB/256GB,12990000.0
36,Điện thoại HONOR X5 Plus 4GB/64GB,2490000.0
37,Điện thoại Samsung Galaxy A05s 6GB/128GB,3690000.0
38,Điện thoại iPhone 15,15990000.0
39,Điện thoại iPhone 14 Plus 512GB,22990000.0
40,Điện thoại iPhone 14 128GB,13090000.0
41,Điện thoại Samsung Galaxy S24 FE 5G,12990000.0
42,Điện thoại Samsung Galaxy A25 5G 8GB/128GB,6190000.0
43,Điện thoại Samsung Galaxy S24 5G 8GB/256GB,16990000.0
44,Điện thoại Xiaomi 14T 5G,11590000.0
45,Điện thoại Xiaomi 14T Pro 5G 12GB/256GB,14890000.0
46,Điện thoại OPPO A3,4590000.0
47,Điện thoại Tecno Spark GO 1 3GB/64GB,1890000.0
48,Điện thoại OPPO Reno12 F 8GB/256GB,7890000.0
49,Điện thoại realme C65s,2790000.0
50,Điện thoại vivo Y19s,3790000.0
51,Điện thoại HONOR X8b 8GB/512GB,5990000.0
52,Điện thoại HONOR X6b,3390000.0
53,Điện thoại Samsung Galaxy S24+ 5G 12GB/256GB,20990000.0
54,Điện thoại iPhone 13,12090000.0
55,Điện thoại iPhone 12,10590000.0
56,Điện thoại Xiaomi Redmi 13,3090000.0
57,Điện thoại Xiaomi Redmi A3 3GB/64GB,2090000.0
58,Điện thoại Xiaomi Redmi 14C,2990000.0
59,Điện thoại OPPO Find X8 5G,21990000.0
60,Điện thoại realme 12,6490000.0
61,Điện thoại vivo Y03,2990000.0
62,Điện thoại realme Note 60,2890000.0
63,Điện thoại vivo V30e 5G,7660000.0
64,Điện thoại realme Note 50,2290000.0
65,Điện thoại vivo V30 5G 12GB/512GB,12790000.0
66,Điện thoại realme C61 4GB/128GB,3290000.0
67,Điện thoại Viettel Sumo 4G T2,550000.0
68,Điện thoại Nokia 105 4G Pro,680000.0
69,Điện thoại Benco 4G G3,380000.0
70,Điện thoại Samsung Galaxy A55 5G,9890000.0
71,Điện thoại Masstel IZI T6 4G,500000.0
72,Điện thoại Mobell M239 4G,440000.0
73,Điện thoại Nokia HMD 105 4G,650000.0
74,Điện thoại Nokia 220 4G,990000.0
75,Điện thoại Masstel IZI 10,410000.0
76,Điện thoại Samsung Galaxy M35 5G 8GB/256GB,7990000.0
77,Điện thoại Nokia 110 4G Pro,750000.0
78,Điện thoại Masstel Fami 50 4G,600000.0
79,Điện thoại Mobell F309 4G,760000.0
80,Điện thoại OPPO Reno12 5G,11490000.0
81,Điện thoại Samsung Galaxy S25 Plus 5G,23990000.0
82,Điện thoại HONOR X7c 8GB/256GB,4990000.0
83,Điện thoại Samsung Galaxy A16,4390000.0
84,Điện thoại Samsung Galaxy M15 5G,3690000.0
85,Điện thoại Mobell M539,700000.0
86,Điện thoại Mobell M331 4G,550000.0
87,Điện thoại Mobell F209,620000.0
88,Điện thoại Masstel Fami 60S 4G,700000.0
89,Điện thoại vivo Y18,3690000.0
90,Điện thoại OPPO Reno12 5G 12GB/256GB Hồng,11490000.0
91,Điện thoại Nokia 3210 4G,1590000.0
92,Điện thoại Samsung Galaxy Z Flip6 5G,19750000.0
93,Điện thoại OPPO Reno12 Pro 5G 12GB/512GB,13990000.0
94,Điện thoại Samsung Galaxy M54 5G 8GB/256GB,7190000.0
95,Điện thoại Itel it9211,490000.0
96,Điện thoại Itel it9310,650000.0
97,Điện thoại OPPO Reno12 F 5G,8690000.0
98,Điện thoại OPPO A38 6GB/128GB,4490000.0
99,Điện thoại Samsung Galaxy S23 FE 5G 8GB/128GB Xanh mint/Trắng,14890000.0
100,Điện thoại OPPO Find N3 Flip 5G,16990000.0
101,Điện thoại HONOR 200 5G,11490000.0
102,Điện thoại vivo Y100,5790000.0
103,Điện thoại HONOR Magic V3 5G 12GB/512GB,37990000.0
104,Điện thoại OPPO Find N3 5G 16GB/512GB,38990000.0
105,Điện thoại OPPO A58 8GB/128GB,4790000.0
106,Điện thoại Itel it2600,490000.0
